SeriesDescription,GeoAreaName,Education level,Nature,Sex,Units,TimePeriod,Value,Cluster
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,BOTHSEX,PERCENT,2016,69.36834,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,FEMALE,PERCENT,2016,78.98646,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,MALE,PERCENT,2019,53.07546,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,MALE,PERCENT,2019,51.3133,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,FEMALE,PERCENT,2019,59.34952,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,BOTHSEX,PERCENT,2019,55.25173,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,BOTHSEX,PERCENT,2019,54.17751,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,FEMALE,PERCENT,2019,55.33282,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,FEMALE,PERCENT,2021,80.1439,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,MALE,PERCENT,2021,62.26237,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,BOTHSEX,PERCENT,2021,71.18333,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,BOTHSEX,PERCENT,2023,45.0,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,BOTHSEX,PERCENT,2023,30.0,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,MALE,PERCENT,2003,17.22166,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,FEMALE,PERCENT,2003,19.93676,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2003,18.70596,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2007,15.18515,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,FEMALE,PERCENT,2007,18.37731,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,MALE,PERCENT,2007,11.9559,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,MALE,PERCENT,2011,22.47941,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,FEMALE,PERCENT,2011,27.9013,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2011,25.27581,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2022,20.06,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,FEMALE,PERCENT,2022,22.64,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,MALE,PERCENT,2022,16.82,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,MALE,PERCENT,2022,12.9,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,FEMALE,PERCENT,2022,30.87,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2022,22.9,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2023,16.0,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2000,31.3,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2000,26.47185,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2000,27.21,3
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2000,25.76,3
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2000,25.48,3
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2000,36.93,3
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2003,36.7496,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2003,42.79,3
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2003,30.62,3
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2003,21.73,3
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2003,21.99,3
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2003,21.86334,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2006,29.61,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2006,37.43,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,PRIMAR,C,MALE,PERCENT,2006,48.97889,3
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2006,46.2,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2006,34.23572,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2006,38.63,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,PRIMAR,C,BOTHSEX,PERCENT,2006,53.97708,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,PRIMAR,C,FEMALE,PERCENT,2006,59.20857,3
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2006,41.70181,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2009,23.76,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2009,22.9,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2009,23.33033,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2009,46.5781,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2009,58.41,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2009,34.52,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,PRIMAR,C,MALE,PERCENT,2011,61.53024,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,PRIMAR,C,FEMALE,PERCENT,2011,70.90413,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,PRIMAR,C,BOTHSEX,PERCENT,2011,66.2271,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2012,44.75408,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2012,24.30606,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2012,25.44,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2012,23.14,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2012,52.31,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2012,37.42,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2015,51.23329,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,PRIMAR,C,BOTHSEX,PERCENT,2015,17.53671,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,PRIMAR,C,MALE,PERCENT,2015,17.24821,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,PRIMAR,C,FEMALE,PERCENT,2015,17.84914,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2015,32.297,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2015,30.40704,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2015,31.35022,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2015,44.62093,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2015,38.03552,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2018,30.09174,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2018,35.60614,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2018,24.39845,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2018,28.1363,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2018,26.12333,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2018,30.08602,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2022,25.46,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2022,19.4,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2022,17.25,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,BOTHSEX,PERCENT,2022,18.34,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,MALE,PERCENT,2022,20.97,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Indonesia,LOWSEC,C,FEMALE,PERCENT,2022,29.73,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,MALE,PERCENT,2001,49.18841,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,FEMALE,PERCENT,2001,62.02778,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,BOTHSEX,PERCENT,2001,56.19722,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,BOTHSEX,PERCENT,2003,19.89741,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,MALE,PERCENT,2003,18.61871,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,FEMALE,PERCENT,2003,21.73981,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,FEMALE,PERCENT,2003,17.18027,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,MALE,PERCENT,2003,16.17133,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,BOTHSEX,PERCENT,2003,16.56551,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,FEMALE,PERCENT,2006,62.4097,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,MALE,PERCENT,2006,57.64378,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,BOTHSEX,PERCENT,2006,59.83531,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,FEMALE,PERCENT,2007,20.21288,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,MALE,PERCENT,2007,19.28709,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,BOTHSEX,PERCENT,2007,19.70065,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,BOTHSEX,PERCENT,2007,19.99405,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,MALE,PERCENT,2007,18.92989,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,FEMALE,PERCENT,2007,21.12335,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,BOTHSEX,PERCENT,2011,33.21682,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,BOTHSEX,PERCENT,2011,25.5313,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,MALE,PERCENT,2011,27.2957,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,FEMALE,PERCENT,2011,23.47808,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,FEMALE,PERCENT,2011,32.54022,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,MALE,PERCENT,2011,33.87305,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,MALE,PERCENT,2011,71.90662,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,FEMALE,PERCENT,2011,79.74817,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,BOTHSEX,PERCENT,2011,75.74361,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,BOTHSEX,PERCENT,2015,34.14569,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,BOTHSEX,PERCENT,2015,32.73412,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,MALE,PERCENT,2015,32.02934,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,FEMALE,PERCENT,2015,33.46153,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,FEMALE,PERCENT,2015,34.25908,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,MALE,PERCENT,2015,34.03043,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,MALE,PERCENT,2016,57.23471,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,BOTHSEX,PERCENT,2016,65.98964,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,FEMALE,PERCENT,2016,76.33801,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,FEMALE,PERCENT,2019,39.5593,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,FEMALE,PERCENT,2019,36.77985,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,MALE,PERCENT,2019,40.78939,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,BOTHSEX,PERCENT,2019,38.87119,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,BOTHSEX,PERCENT,2019,37.1363,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,MALE,PERCENT,2019,35.0127,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,MALE,PERCENT,2021,55.13523,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,FEMALE,PERCENT,2021,62.60574,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,BOTHSEX,PERCENT,2021,58.59795,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),LOWSEC,C,BOTHSEX,PERCENT,2023,29.0,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Iran (Islamic Republic of),PRIMAR,C,BOTHSEX,PERCENT,2023,31.0,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,BOTHSEX,PERCENT,2007,81.08918,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,MALE,PERCENT,2007,79.18092,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,PRIMAR,C,FEMALE,PERCENT,2007,82.88892,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,BOTHSEX,PERCENT,2009,40.862,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Kazakhstan,LOWSEC,C,MALE,PERCENT,2009,32.54,1
